RATE,ID,YEAR,CITY,STATE,MKT_TIER
168.8,4832,2018,Los Angeles,CA,
165,4832,2019,Los Angeles,CA,
349,4834,2017,San Francisco,CA,
545.04,4834,2018,San Francisco,CA,
324,4834,2019,San Francisco,CA,
139.33,4835,2018,Phoenix,AZ,
172.43,4836,2018,Tampa,FL,
177.69,4837,2018,Atlanta,GA,
195,4837,2019,Atlanta,GA,
180.85,4838,2018,Chicago,IL,
186.5,4838,2019,Chicago,IL,
243.9,4839,2018,Chicago,IL,
239.5,4839,2019,Chicago,IL,
141.17,4840,2018,Indianapolis,IN,
239,4841,2017,Boston,MA,
427.08,4841,2018,Boston,MA,
369,4841,2019,Boston,MA,
209.89,4844,2018,Dallas,TX,
189,4845,2017,Seattle,WA,
192.14,4845,2018,Seattle,WA,
260,4845,2019,Seattle,WA,
444.75,4857,2018,San Francisco,CA,
376,4857,2019,San Francisco,CA,
209.75,4858,2018,Seattle,WA,
280,4858,2019,Seattle,WA,
199,4863,2017,Philadelphia,PA,
223.33,4863,2018,Philadelphia,PA,
166.5,4864,2017,San Diego,CA,
176.13,4864,2018,San Diego,CA,
155.5,4865,2018,Durham,NC,
110,4865,2019,Durham,NC,
180.9,4869,2018,Chicago,IL,
231.5,4869,2019,Chicago,IL,
234.6,4872,2018,Houston,TX,
189.33,4880,2018,Plantation,FL,
126.8,4882,2018,Houston,TX,
115,4882,2019,Houston,TX,
185.22,4883,2018,Los Angeles,CA,
396,4885,2018,San Francisco,CA,
380,4885,2019,San Francisco,CA,
250,4887,2017,New York,NY,
265.04,4887,2018,New York,NY,
265,4887,2019,New York,NY,
226,4889,2019,Boston,MA,
197.63,4890,2018,Seattle,WA,
255,4890,2019,Seattle,WA,
145,4892,2018,Dallas,TX,
139,4892,2019,Dallas,TX,
196.08,4897,2018,Tysons,VA,
185,4897,2019,Vienna,VA,
292.05,4903,2018,New York,NY,
309,4903,2019,New York,NY,
310.92,4904,2018,Los Angeles,CA,
207.68,4906,2018,Houston,TX,
279,5207,2018,Belmont,CA,
152,5309,2019,White Plains,NY,
131,5319,2018,Arlington,TX,
115,5319,2019,Arlington,TX,
128,5364,2017,Philadelphia,PA,
149.8,5364,2018,Philadelphia,PA,
143.5,5364,2019,Philadelphia,PA,
132,5366,2019,East Norriton,PA,
189,5428,2017,Burlington,MA,
179,5433,2017,Waltham,MA,
175,5433,2019,Waltham,MA,
183,5435,2018,Morristown,NJ,
187,5435,2019,Morristown,NJ,
113,5436,2019,Mount Laurel,NJ,
146,5440,2018,Whippany,NJ,
159,5440,2019,Whippany,NJ,
129,5443,2019,Irving,TX,
159,5446,2018,Englewood,CO,
192,5448,2018,Miami,FL,
145,5453,2019,Scottsdale,AZ,
105,6638,2017,Austin,TX,
67,6645,2019,Durham,NC,
113,6646,2017,Austin,TX,
123,6780,2017,South San Francisco,CA,
88,6875,2017,Austin,TX,
91,6875,2019,Austin,TX,
71,6883,2017,Tucson,AZ,
89,6884,2017,Greenwood Village,CO,
109,6901,2017,Houston,TX,
147.25,7022,2018,Tucson,AZ,
89,7022,2019,Tucson,AZ,
230.44,7023,2018,Costa Mesa,CA,
206,7023,2019,Costa Mesa,CA,
185.67,7024,2018,Long Beach,CA,
249.77,7025,2018,Los Angeles,CA,
427.38,7026,2018,Millbrae,CA,
220,7028,2018,San Diego,CA,
225,7028,2019,San Diego,CA,
329,7030,2017,Santa Clara,CA,
230.26,7031,2018,Denver,CO,
299,7032,2018,Washington,DC,
319,7032,2019,Washington,DC,
200.17,7033,2018,Fort Lauderdale,FL,
105,7033,2019,Fort Lauderdale,FL,
167.5,7049,2018,Atlanta,GA,
169,7049,2019,Atlanta,GA,
164.22,7050,2018,Atlanta,GA,
115,7050,2019,Atlanta,GA,
322.6,7056,2018,Scottsdale,AZ,
279,7056,2019,Scottsdale,AZ,
143.5,7057,2018,Rosemont,IL,
268.83,7058,2018,Waltham,MA,
182.05,7059,2018,Southfield,MI,
165,7059,2019,Southfield,MI,
170.67,7060,2018,Kansas City,MO,
130,7060,2019,Kansas City,MO,
201,7063,2017,Cincinnati,OH,
197.5,7063,2018,Cincinnati,OH,
165,7064,2018,Columbus,OH,
145,7064,2019,Columbus,OH,
138.17,7066,2018,Philadelphia,PA,
202,7070,2017,Houston,TX,
204.64,7070,2018,Houston,TX,
196,7070,2019,Houston,TX,
134.25,7104,2018,Atlanta,GA,
105,7104,2019,Atlanta,GA,
175,7105,2018,Fort Lauderdale,FL,
106,7105,2019,Fort Lauderdale,FL,
118,7111,2018,Chapel Hill,NC,
103,7111,2019,Chapel Hill,NC,
130,7119,2019,Ontario,CA,
310,7121,2017,Santa Monica,CA,
309.2,7121,2018,Santa Monica,CA,
336,7121,2019,Santa Monica,CA,
123,7123,2019,Edison,NJ,
169,7126,2018,Revere,MA,
118,7127,2017,Orlando,FL,
120.5,7127,2018,Orlando,FL,
164,7128,2018,Houston,TX,
259,7129,2018,Atlanta,GA,
110,7129,2019,Atlanta,GA,
274.38,7130,2018,Morristown,NJ,
126.5,7135,2018,Birmingham,AL,
239,7136,2018,York,PA,
125,7142,2019,Orlando,FL,
182.7,7147,2018,San Antonio,TX,
165,7147,2019,San Antonio,TX,
161.67,7148,2018,Savannah,GA,
163.17,7152,2018,Westminster,CO,
