RATE,ID,YEAR,CITY,STATE,MKT_TIER
184.5,14,2017,Tuscaloosa,AL,0
159.33,27,2017,Birmingham,AL,2
115,28,2017,Hamilton,AL,2
194.5,29,2017,Montgomery,AL,0
150,112,2017,Conway,AR,2
149,116,2017,Forrest City,AR,2
99,129,2017,Jacksonville,AR,2
150,142,2017,Auburn,CA,2
199,144,2017,Bridgeport,CA,2
139,163,2017,Redding,CA,2
95,164,2017,Austin,TX,3
119,166,2017,San Francisco,CA,2
119,182,2017,Santa Barbara,CA,1
119,183,2017,San Simeon,CA,2
215.33,4832,2017,Los Angeles,CA,5
167.25,4832,2018,Los Angeles,CA,1
163,4832,2018,Los Angeles,CA,3
170,4832,2018,Los Angeles,CA,5
165,4832,2019,Los Angeles,CA,3
171,4832,2019,Los Angeles,CA,5
1492.11,4834,2017,San Francisco,CA,5
388,4834,2018,San Francisco,CA,1
350.5,4834,2018,San Francisco,CA,3
482.38,4834,2018,San Francisco,CA,5
349,4834,2019,San Francisco,CA,3
201.41,4835,2017,Phoenix,AZ,5
115,4835,2018,Phoenix,AZ,1
113,4835,2018,Phoenix,AZ,3
159,4835,2018,Phoenix,AZ,5
177,4836,2017,Tampa,FL,2
281.64,4836,2017,Tampa,FL,3
164,4836,2018,Tampa,FL,3
248.06,4837,2017,Atlanta,GA,5
195,4837,2018,Atlanta,GA,1
166,4837,2018,Atlanta,GA,3
207.8,4837,2018,Atlanta,GA,5
199,4837,2019,Atlanta,GA,5
190,4838,2017,Chicago,IL,2
322.46,4838,2017,Chicago,IL,5
170,4838,2018,Chicago,IL,1
167,4838,2018,Chicago,IL,3
199.4,4838,2018,Chicago,IL,5
544.67,4839,2017,Chicago,IL,5
205,4839,2018,Chicago,IL,1
497.25,4839,2018,Chicago,IL,5
249.77,4840,2017,Indianapolis,IN,5
125,4840,2018,Indianapolis,IN,1
135,4840,2018,Indianapolis,IN,3
225.67,4840,2018,Indianapolis,IN,5
155,4840,2019,Indianapolis,IN,5
627.98,4841,2017,Boston,MA,5
534.2,4841,2018,Boston,MA,5
185,4844,2017,Dallas,TX,2
266.56,4844,2017,Dallas,TX,5
234,4844,2018,Dallas,TX,1
205.5,4844,2018,Dallas,TX,3
237.54,4844,2018,Dallas,TX,5
329.71,4845,2017,Seattle,WA,5
190,4845,2018,Seattle,WA,1
233.75,4845,2018,Seattle,WA,5
211.5,4855,2017,Atlanta,GA,1
1000,4855,2018,Atlanta,GA,1
605.82,4857,2017,San Francisco,CA,1
604.29,4857,2018,San Francisco,CA,1
394,4857,2018,San Francisco,CA,3
409,4857,2018,San Francisco,CA,5
409,4857,2019,San Francisco,CA,3
560.26,4858,2017,Seattle,WA,1
570.6,4858,2018,Seattle,WA,1
225,4858,2018,Seattle,WA,5
305.87,4863,2017,Philadelphia,PA,5
180,4863,2018,Philadelphia,PA,3
214.17,4863,2018,Philadelphia,PA,5
333,4864,2017,San Diego,CA,5
199,4864,2018,San Diego,CA,1
153,4864,2018,San Diego,CA,3
345,4864,2018,San Diego,CA,5
245.03,4865,2017,Durham,NC,5
162,4865,2018,Durham,NC,1
169,4865,2018,Durham,NC,3
171,4865,2018,Durham,NC,5
450.05,4869,2017,Chicago,IL,5
165,4869,2018,Chicago,IL,1
235,4869,2018,Chicago,IL,5
420.1,4872,2017,Houston,TX,1
280.23,4872,2018,Houston,TX,1
279.47,4880,2017,Plantation,FL,5
266.25,4880,2018,Plantation,FL,5
190.13,4882,2017,Houston,TX,5
132,4882,2018,Houston,TX,1
134.55,4882,2018,Houston,TX,5
214.33,4883,2017,Los Angeles,CA,5
178.5,4883,2018,Los Angeles,CA,1
184.5,4883,2018,Los Angeles,CA,3
187.18,4883,2018,Los Angeles,CA,5
179,4883,2019,Los Angeles,CA,5
707.83,4885,2017,San Francisco,CA,1
795,4885,2018,San Francisco,CA,1
388,4885,2018,San Francisco,CA,3
496.7,4887,2017,New York,NY,5
281.5,4887,2018,New York,NY,1
249,4887,2018,New York,NY,3
266.17,4887,2018,New York,NY,5
713.35,4889,2017,Boston,MA,5
199,4889,2018,Boston,MA,1
798.5,4889,2018,Boston,MA,5
302.2,4890,2017,Seattle,WA,5
197,4890,2018,Seattle,WA,1
366,4890,2018,Seattle,WA,5
226,4890,2019,Seattle,WA,3
228.67,4892,2017,Dallas,TX,5
156,4892,2018,Dallas,TX,1
129,4892,2018,Dallas,TX,3
255.5,4892,2018,Dallas,TX,5
170.86,4893,2017,Atlanta,GA,5
284.6,4896,2017,Burlington,VT,5
248.59,4897,2017,Tysons Corner,VA,5
211,4897,2017,Vienna,VA,5
206.5,4897,2018,Tysons Corner,VA,1
187.5,4897,2018,Tysons Corner,VA,3
208.38,4897,2018,Tysons Corner,VA,5
527.25,4903,2017,New York,NY,1
404.58,4903,2018,New York,NY,1
277,4903,2018,New York,NY,3
321.86,4903,2018,New York,NY,5
457.05,4904,2017,Los Angeles,CA,1
414.78,4904,2018,Los Angeles,CA,1
314.67,4904,2018,Los Angeles,CA,5
315,4904,2019,Los Angeles,CA,3
205,4906,2017,Houston,TX,2
231.6,4906,2017,Houston,TX,5
207.25,4906,2018,Houston,TX,1
191.5,4906,2018,Houston,TX,3
224.29,4906,2018,Houston,TX,5
364.67,5207,2017,Belmont,CA,3
454.43,5207,2018,Belmont,CA,3
392.3,5207,2019,Belmont,CA,3
413.63,5209,2017,El Segundo,CA,3
1079.75,5209,2018,El Segundo,CA,3
256.14,5209,2019,El Segundo,CA,3
201,5209,2020,El Segundo,CA,3
308.13,5210,2017,Pleasanton,CA,3
327.93,5210,2018,Pleasanton,CA,3
354.45,5210,2019,Pleasanton,CA,3
216,5309,2017,White Plains,NY,3
548.86,5309,2018,White Plains,NY,3
198.4,5309,2019,White Plains,NY,3
119,5309,2020,White Plains,NY,3
278.32,5319,2017,Arlington,TX,5
155,5319,2018,Arlington,TX,3
196.5,5319,2018,Arlington,TX,5
158.5,5330,2017,Peachtree City,GA,2
134.53,5334,2017,Buffalo Grove,IL,3
187.27,5345,2017,Chelsea,MA,3
141.95,5355,2017,Mount Laurel,NJ,2
121.84,5355,2018,Mount Laurel,NJ,2
115.23,5355,2019,Mount Laurel,NJ,2
159.07,5362,2017,Cleveland,OH,3
229,5362,2018,Cleveland,OH,3
225.2,5364,2017,Philadelphia,PA,5
156.33,5364,2018,Philadelphia,PA,1
162,5364,2018,Philadelphia,PA,5
153.38,5365,2017,Harrisburg,PA,2
218.52,5366,2017,East Norriton,PA,3
216.26,5366,2018,East Norriton,PA,3
180.89,5366,2019,East Norriton,PA,3
109,5366,2020,East Norriton,PA,3
264.56,5372,2017,Galveston,TX,3
176.45,5372,2018,Galveston,TX,3
147.86,5372,2019,Galveston,TX,3
261.88,5374,2017,Galveston,TX,3
227.88,5374,2018,Galveston,TX,3
167.4,5374,2019,Galveston,TX,3
143.12,5390,2017,Orlando,FL,3
213,5390,2018,Orlando,FL,3
132.74,5390,2019,Orlando,FL,3
202.9,5398,2017,Gaithersburg,MD,3
220.13,5398,2018,Gaithersburg,MD,3
263.33,5428,2017,Burlington,MA,3
255.25,5428,2018,Burlington,MA,3
266,5428,2019,Burlington,MA,3
181,5428,2020,Burlington,MA,3
200.45,5431,2017,Charlotte,NC,3
207.4,5431,2018,Charlotte,NC,3
186.8,5431,2019,Charlotte,NC,3
110.5,5431,2020,Charlotte,NC,3
258.96,5433,2017,Waltham,MA,3
278.96,5433,2018,Waltham,MA,3
283.02,5433,2019,Waltham,MA,3
167.67,5433,2020,Waltham,MA,3
212.91,5434,2017,Bridgewater,NJ,3
230.83,5434,2018,Bridgewater,NJ,3
229.08,5434,2019,Bridgewater,NJ,3
279.98,5435,2017,Morristown,NJ,3
280.44,5435,2018,Morristown,NJ,3
260.11,5435,2019,Morristown,NJ,3
129.96,5436,2017,Mount Laurel,NJ,2
118,5436,2017,Mount Laurel,NJ,4
133.84,5436,2018,Mount Laurel,NJ,4
130.91,5436,2019,Mount Laurel,NJ,4
248.68,5440,2017,Whippany,NJ,3
252.88,5440,2018,Whippany,NJ,3
241.62,5440,2019,Whippany,NJ,3
129.04,5442,2017,Addison,TX,2
136.75,5442,2018,Addison,TX,2
128.81,5442,2019,Addison,TX,2
104,5442,2020,Addison,TX,2
180.71,5443,2017,Irving,TX,3
192.57,5443,2018,Irving,TX,3
199.29,5443,2019,Irving,TX,3
127,5443,2020,Irving,TX,3
129,5446,2017,Englewood,CO,0
246.05,5446,2017,Englewood,CO,2
291.13,5446,2018,Englewood,CO,2
147.67,5446,2018,Englewood,CO,3
290.58,5446,2019,Englewood,CO,2
456.44,5446,2019,Englewood,CO,3
155,5446,2020,Englewood,CO,2
223.97,5448,2017,Miami,FL,3
229.05,5448,2018,Miami,FL,3
250.93,5448,2019,Miami,FL,3
234.64,5453,2017,Scottsdale,AZ,3
221.11,5453,2018,Scottsdale,AZ,3
305.93,5453,2019,Scottsdale,AZ,3
149,5453,2020,Scottsdale,AZ,3
